url,language,paragraph
https://nl.wikipedia.org/wiki/Th%C3%A9o_Lef%C3%A8vre,nl,"Théodore Joseph Albéric Marie Lefèvre(Gent,17 januari1914–Sint-Lambrechts-Woluwe,18 september1973) was een Belgischpoliticus. Hij was premier van België van 1961 tot 1965, aan het hoofd van deregering-Lefèvre-Spaak."
https://nl.wikipedia.org/wiki/Paul_Vanden_Boeynants,nl,"Paul Emile François Henri Vanden Boeynants(Vorst,22 mei1919–Aalst,8 januari2001), in de media en door hemzelf bijgenaamd 'VDB', was een Belgischvolksvertegenwoordiger, minister enpremier. Alsondernemerwas hij actief in de vleesindustrie."
https://nl.wikipedia.org/wiki/Etienne_de_Gerlache,nl,"Etienne Constantin baron de Gerlache(Biourge,25 december1785-Elsene,10 februari1871) wasadvocaat, politicus en magistraat in het Verenigd Koninkrijk der Nederlandenen in België."
https://nl.wikipedia.org/wiki/Wilfried_Martens,nl,"Wilfried Achiel Emma Martensuitspraakⓘ(Sleidinge,19 april1936–Lokeren,9 oktober2013) was een Vlaams-Belgische politicus voor de CD&V(vroeger CVP) en was van april 1979 tot maart 1992 (met een korte onderbreking)eerste ministervan België."
https://nl.wikipedia.org/wiki/Mark_Eyskens,nl,"Marc Maria Frans burggraaf Eyskens(uitspraakⓘ) (Leuven,29 april1933) is een Belgischeemeritushoogleraar,econoom,politicusenessayist. Van april tot december 1981 was hijpremier van België."
https://nl.wikipedia.org/wiki/Pierre_Harmel,nl,"Pierre Charles José Marie graaf Harmel(Ukkel,16 maart1911–Brussel,15 november2009) was een Belgischadvocaat,hoogleraaren christendemocratischstaatsman."
https://nl.wikipedia.org/wiki/Hubert_Pierlot,nl,"Hubert Marie Eugène Pierlot(Cugnon,23 december1883–Ukkel,13 december1963) was de Belgischeeerste ministervan1939 tot1945."
https://nl.wikipedia.org/wiki/Jean-Baptiste_Nothomb,nl,"Jean Baptiste Nothomb(Messancy,3 juli1805–Berlijn,16 september1881) was een Belgischstaatsman en diplomaat die een belangrijke rol speelde bij het tot stand komen van de Belgische staat. Zo was hij een van de opstellers van de Belgische grondweten onderhandelde hij over de verdragen die de Belgische onafhankelijkheidgarandeerden."
https://nl.wikipedia.org/wiki/Edmond_Leburton,nl,"Edmond Jules Isidore Leburton(Lantremange,18 april1915–Borgworm,15 juni1997) was een Belgischpoliticusvoor de PSB."
https://nl.wikipedia.org/wiki/Jean_Duvieusart,nl,"Jean Pierre Armand Ghislain Marie Duvieusart(Frasnes-lez-Gosselies,10 april1900–Couillet,11 oktober1977) was een Belgischadvocaatenkatholiekpoliticus."
https://nl.wikipedia.org/wiki/Joseph_Lebeau,nl,"Jean Louis Joseph Lebeau(Hoei,2 januari1794– aldaar,19 maart1865) was lid van het Nationaal Congres,Belgischliberaalvolksvertegenwoordigereneerste minister."
https://nl.wikipedia.org/wiki/Charles_Rogier,nl,"Charles Latour Rogier(Nederlands, verouderd: Karel Rogier;Saint-Quentin17 augustus1800–Sint-Joost-ten-Node,27 mei1885) was een Belgischpoliticus en een van de grondleggers van de Belgische staat."
https://nl.wikipedia.org/wiki/Barth%C3%A9lemy_de_Theux_de_Meylandt,nl,"Barthélemy-Théodore graaf de Theux de Meylandt(Sint-Truiden,26 februari1794–Heusden,21 augustus1874) was een Belgischstaatsman, eerste minister en lid van het Nationaal Congres."
https://nl.wikipedia.org/wiki/Felix_de_M%C3%BBelenaere,nl,"Felix Amandus de Mûelenaere(Pittem,9 april1793– aldaar,5 augustus1862) was een Belgischunionistischpoliticus."
https://nl.wikipedia.org/wiki/Alexander_De_Croo,nl,"Alexander Francis Herman De Croo(Vilvoorde, 3 november1975) is een Belgischpoliticus voor Open Vld. Tussen oktober 2020 en februari 2025 was De Croopremier van Belgiëvan de zogenaamde Vivaldicoalitie. Hij werd aangeduid als directeur van het VN-Ontwikkelingsprogramma."
https://nl.wikipedia.org/wiki/Henri_de_Brouck%C3%A8re,nl,"Henri Ghislain Joseph Marie Hyacinthe de Brouckère(Brugge,25 januari1801-Brussel,25 januari1891) was een Belgischliberaalpoliticus. Hij was onder meer eerste minister,volksvertegenwoordigeren lid van het Belgisch Nationaal Congres."
https://nl.wikipedia.org/wiki/Albert_Goblet_d%27Alviella,nl,"Albert Joseph Goblet, sinds 1838 graaf Goblet d'Alviella(Doornik,26 mei1790–Brussel,5 mei1873) was een Belgischpoliticus en officier."
https://nl.wikipedia.org/wiki/Sylvain_Van_de_Weyer,nl,"Jean-Sylvain Van de Weyer(Leuven,19 januari1802–Londen,23 mei1874), beter bekend als Sylvain Van de Weyer, was een van de grondleggers van de Belgische Staat, en later ookeerste minister."
https://nl.wikipedia.org/wiki/Jules_de_Burlet,nl,"Jules Philippe Marie de Burlet(Elsene,10 april1844-Nijvel,1 maart1897) was een Belgischkatholiekpoliticus."
